2024-08-21 00:14:09.434 +08:00 [INF] Main (GetRoleList) | Receive Request Get User Role List.
2024-08-21 00:14:09.543 +08:00 [INF] DBL (GetUserRoleListingAsync) | Response User Role List: [{"Id":0,"Name":"Admin","Description":"Administrator"},{"Id":1,"Name":"Merchant","Description":"Merchant Account"},{"Id":2,"Name":"Normal User","Description":"Customer Account"}]
2024-08-21 00:14:29.391 +08:00 [INF] Main (AddUser) | Receive Request to add user, Request: {"name":"string","username":"string","password":"tKhvyN6IUnwOdo0FlAX8QnGkepKMb/sPA+W2CH3d09Vu+/v1cC2vSaIAW4Wi7T5P","email":"string","userRoleId":1,"phone":"string"}
2024-08-21 00:14:29.619 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-21 00:14:29.622 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. user id: 20240821001429427270
2024-08-21 00:14:38.824 +08:00 [INF] Main (GetRoleList) | Receive Request Get User Role List.
2024-08-21 00:14:38.830 +08:00 [INF] DBL (GetUserRoleListingAsync) | Response User Role List: [{"Id":0,"Name":"Admin","Description":"Administrator"},{"Id":1,"Name":"Merchant","Description":"Merchant Account"},{"Id":2,"Name":"Normal User","Description":"Customer Account"}]
2024-08-21 00:14:59.442 +08:00 [INF] Main (GetUserList) | Receive Request Get User List, User Listing Request: {"Username":null,"Name":null,"Email":null,"Phone":null,"Role":null,"Status":null,"SearchTerm":null,"PageNumber":1,"PageSize":10,"SortBy":null,"SortDescending":false}
2024-08-21 00:14:59.614 +08:00 [INF] DBL (GetUserListingAsync) | Response User List: [{"Id":"20240821001356836444","Name":"Admin 1","Username":"admin1","Email":"woonyap616@gmail.com","Phone":"0123456789","Role":"Admin","Status":"Active"},{"Id":"20240821001357514297","Name":"Admin 2","Username":"admin2","Email":"kaixuan0131@gmail.com","Phone":"0123456789","Role":"Admin","Status":"Active"},{"Id":"20240821001429427270","Name":"string","Username":"string","Email":"string","Phone":"string","Role":"Merchant","Status":"Active"}]
2024-08-21 00:18:37.617 +08:00 [INF] Main (GetUserList) | Receive Request Get User List, User Listing Request: {"Username":null,"Name":null,"Email":null,"Phone":null,"Role":null,"Status":null,"SearchTerm":null,"PageNumber":1,"PageSize":10,"SortBy":null,"SortDescending":false}
2024-08-21 00:18:37.756 +08:00 [INF] DBL (GetUserListingAsync) | Response User List: [{"Id":"20240821001822499754","Name":"Admin 1","Username":"admin1","Email":"woonyap616@gmail.com","Phone":"0123456789","Role":"Admin","Status":"Active"},{"Id":"20240821001823385907","Name":"Admin 2","Username":"admin2","Email":"kaixuan0131@gmail.com","Phone":"0123456789","Role":"Admin","Status":"Active"}]
2024-08-21 00:21:31.879 +08:00 [INF] Main (GetUserList) | Receive Request Get User List, User Listing Request: {"Username":null,"Name":null,"Email":null,"Phone":null,"Role":null,"Status":null,"SearchTerm":null,"PageNumber":1,"PageSize":10,"SortBy":null,"SortDescending":false}
2024-08-21 00:21:32.021 +08:00 [INF] DBL (GetUserListingAsync) | Response User List: [{"Id":"20240821002119239184","Name":"Admin 1","Username":"admin1","Email":"woonyap616@gmail.com","Phone":"0123456789","Role":"Admin","Status":"Active"},{"Id":"20240821002120726845","Name":"Admin 2","Username":"admin2","Email":"kaixuan0131@gmail.com","Phone":"0123456789","Role":"Admin","Status":"Active"}]
2024-08-21 00:21:39.266 +08:00 [INF] Main (Logout) | Update User Login History, Username: string
2024-08-21 00:21:39.272 +08:00 [ERR] DBL (UpdateUserLogoutAsync) | User not found. Username: string
2024-08-21 00:35:08.415 +08:00 [INF] Main (Logout) | Update User Login History, Username: admin1
2024-08-21 00:35:08.506 +08:00 [INF] DBL (UpdateUserLogoutAsync) | Record Update Successful. User Name: admin1
2024-08-21 10:48:57.205 +08:00 [INF] Main (RegisterAcc) | Receive Request to register account, Request: {"name":"Test Register","username":"User Name","password":"HOqdkjT9VCtLk9+mGSDQFQL46kU+kJsb8zXRIPAEm72Ne/gbQH9y1b99nGeBxr6I","email":"string","userRoleId":0,"phone":"string"}
2024-08-21 10:48:57.495 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-21 10:48:57.497 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. user id: 20240821104857500700
2024-08-21 10:49:30.709 +08:00 [INF] Main (GetUserList) | Receive Request Get User List, User Listing Request: {"Username":null,"Name":null,"Email":null,"Phone":null,"Role":null,"Status":null,"SearchTerm":null,"PageNumber":1,"PageSize":10,"SortBy":null,"SortDescending":false}
